Value,Disaggregation combinations using this value,Number of indicators
1_Zimmer,51,1
2_zimmer,51,1
3_Zimmer,51,1
4_Zimmer,51,1
5_Zimmer,51,1
6_Zimmer,51,1
7-und_mehr_Zimmer,51,1
Durchschnittliche Fläche je Wohnung,51,1
Fläche in 100 qm,51,1
Gebäude,51,1
Wohnungen,51,1
