Indicator
#1-1-1
#1-1-2
#1-1-3
#1-2-1
#1-2-2
#10-1-1
#11-1-1
#11-2-1
#11-2-2
#11-2-3
#11-2-4
#11-2-5
#11-2-6
#11-2-7
#11-2-8
#11-2-9
#8-1-1
#8-2-1
#8-3-1
#9-1-1
