Value,Disaggregation combinations using this value,Number of indicators
1 Zimmer,80,1
2 Zimmer,80,1
3 Zimmer,80,1
4 Zimmer,80,1
5 Zimmer,80,1
6 Zimmer,80,1
7 und mehr Zimmer,80,1
Baumaßnahmen und neue Gebäude,80,1
Nutzfläche des Gebäudes (100 qm),80,1
Veranschl. Kosten des Bauwerkes (1000 Euro),80,1
Wohnungen insgesamt,80,1
