Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03101,60
2019,Salzgitter Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03102,20
2019,Wolfsburg Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03103,140
2019,Gifhorn,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03151,75
2019,Goslar,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03153,145
2019,Helmstedt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03154,25
2019,Northeim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03155,90
2019,Peine,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03157,115
2019,Wolfenbüttel,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03158,50
2019,Göttingen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03159,355
2019,Statistische Region Braunschweig,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K031,1075
2019,Hannover Region,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241,780
2019,Hannover Landeshauptstadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03241001,410
2019,Diepholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03251,230
2019,Hameln-Pyrmont,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03252,120
2019,Hildesheim,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03254,170
2019,Holzminden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03255,20
2019,Nienburg (Weser),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03256,75
2019,Schaumburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03257,105
2019,Statistische Region Hannover,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K032,1500
2019,Celle,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03351,115
2019,Cuxhaven,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03352,120
2019,Harburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03353,130
2019,Lüchow-Dannenberg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03354,25
2019,Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03355,135
2019,Osterholz,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03356,160
2019,Rotenburg (Wümme),Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03357,90
2019,Heidekreis,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03358,160
2019,Stade,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03359,190
2019,Uelzen,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03360,60
2019,Verden,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03361,175
2019,Statistische Region Lüneburg,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K033,1355
2019,Delmenhorst.Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03401,105
2019,Emden Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03402,55
2019,Oldenburg (Oldb) Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03403,45
2019,Osnabrück Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03404,100
2019,Wilhelmshaven Stadt,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03405,100
2019,Ammerland,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03451,60
2019,Aurich,Unmöglichkeit d. Ausreise aus rechtl. oder tats. Gründen,K03452,95
