Year,Gebietseinheit,Kategorien,GeoCode,Value
2015,Braunschweig-Stadt,Fälle,K03101,129
2016,Braunschweig-Stadt,Fälle,K03101,159
2017,Braunschweig-Stadt,Fälle,K03101,201
2018,Braunschweig-Stadt,Fälle,K03101,162
2019,Braunschweig-Stadt,Fälle,K03101,143
1991,Salzgitter-Stadt,Fälle,K03102,56
1992,Salzgitter-Stadt,Fälle,K03102,293
1993,Salzgitter-Stadt,Fälle,K03102,196
1994,Salzgitter-Stadt,Fälle,K03102,242
1995,Salzgitter-Stadt,Fälle,K03102,108
1996,Salzgitter-Stadt,Fälle,K03102,143
1997,Salzgitter-Stadt,Fälle,K03102,110
1998,Salzgitter-Stadt,Fälle,K03102,155
1999,Salzgitter-Stadt,Fälle,K03102,224
2000,Salzgitter-Stadt,Fälle,K03102,195
2001,Salzgitter-Stadt,Fälle,K03102,117
2002,Salzgitter-Stadt,Fälle,K03102,169
2003,Salzgitter-Stadt,Fälle,K03102,161
2004,Salzgitter-Stadt,Fälle,K03102,109
2005,Salzgitter-Stadt,Fälle,K03102,84
2006,Salzgitter-Stadt,Fälle,K03102,99
2007,Salzgitter-Stadt,Fälle,K03102,77
2008,Salzgitter-Stadt,Fälle,K03102,84
2009,Salzgitter-Stadt,Fälle,K03102,29
2010,Salzgitter-Stadt,Fälle,K03102,72
2011,Salzgitter-Stadt,Fälle,K03102,75
2012,Salzgitter-Stadt,Fälle,K03102,94
2013,Salzgitter-Stadt,Fälle,K03102,69
2014,Salzgitter-Stadt,Fälle,K03102,47
2015,Salzgitter-Stadt,Fälle,K03102,95
2016,Salzgitter-Stadt,Fälle,K03102,87
2017,Salzgitter-Stadt,Fälle,K03102,71
2018,Salzgitter-Stadt,Fälle,K03102,71
2019,Salzgitter-Stadt,Fälle,K03102,88
1991,Wolfsburg-Stadt,Fälle,K03103,89
1992,Wolfsburg-Stadt,Fälle,K03103,88
1993,Wolfsburg-Stadt,Fälle,K03103,61
1994,Wolfsburg-Stadt,Fälle,K03103,73
1995,Wolfsburg-Stadt,Fälle,K03103,85
1996,Wolfsburg-Stadt,Fälle,K03103,132
1997,Wolfsburg-Stadt,Fälle,K03103,211
1998,Wolfsburg-Stadt,Fälle,K03103,209
1999,Wolfsburg-Stadt,Fälle,K03103,344
2000,Wolfsburg-Stadt,Fälle,K03103,316
2001,Wolfsburg-Stadt,Fälle,K03103,184
2002,Wolfsburg-Stadt,Fälle,K03103,368
2003,Wolfsburg-Stadt,Fälle,K03103,455
2004,Wolfsburg-Stadt,Fälle,K03103,294
2005,Wolfsburg-Stadt,Fälle,K03103,354
2006,Wolfsburg-Stadt,Fälle,K03103,277
2007,Wolfsburg-Stadt,Fälle,K03103,239
2008,Wolfsburg-Stadt,Fälle,K03103,256
2009,Wolfsburg-Stadt,Fälle,K03103,202
2010,Wolfsburg-Stadt,Fälle,K03103,204
2011,Wolfsburg-Stadt,Fälle,K03103,275
2012,Wolfsburg-Stadt,Fälle,K03103,125
2013,Wolfsburg-Stadt,Fälle,K03103,106
2014,Wolfsburg-Stadt,Fälle,K03103,49
2015,Wolfsburg-Stadt,Fälle,K03103,354
2016,Wolfsburg-Stadt,Fälle,K03103,115
2017,Wolfsburg-Stadt,Fälle,K03103,96
2018,Wolfsburg-Stadt,Fälle,K03103,169
2019,Wolfsburg-Stadt,Fälle,K03103,79
1991,Gifhorn,Fälle,K03151,978
1992,Gifhorn,Fälle,K03151,733
1993,Gifhorn,Fälle,K03151,1018
1994,Gifhorn,Fälle,K03151,1000
1995,Gifhorn,Fälle,K03151,989
1996,Gifhorn,Fälle,K03151,932
1997,Gifhorn,Fälle,K03151,696
1998,Gifhorn,Fälle,K03151,918
1999,Gifhorn,Fälle,K03151,876
2000,Gifhorn,Fälle,K03151,778
2001,Gifhorn,Fälle,K03151,696
2002,Gifhorn,Fälle,K03151,629
2003,Gifhorn,Fälle,K03151,552
2004,Gifhorn,Fälle,K03151,595
2005,Gifhorn,Fälle,K03151,556
2006,Gifhorn,Fälle,K03151,348
2007,Gifhorn,Fälle,K03151,319
2008,Gifhorn,Fälle,K03151,274
2009,Gifhorn,Fälle,K03151,183
2010,Gifhorn,Fälle,K03151,267
2011,Gifhorn,Fälle,K03151,329
2012,Gifhorn,Fälle,K03151,501
2013,Gifhorn,Fälle,K03151,643
2014,Gifhorn,Fälle,K03151,478
2015,Gifhorn,Fälle,K03151,464
2016,Gifhorn,Fälle,K03151,628
2017,Gifhorn,Fälle,K03151,484
2018,Gifhorn,Fälle,K03151,538
2019,Gifhorn,Fälle,K03151,420
1991,Goslar,Fälle,K03153,254
1992,Goslar,Fälle,K03153,256
1993,Goslar,Fälle,K03153,286
1994,Goslar,Fälle,K03153,304
1995,Goslar,Fälle,K03153,214
1996,Goslar,Fälle,K03153,340
1997,Goslar,Fälle,K03153,245
1998,Goslar,Fälle,K03153,308
1999,Goslar,Fälle,K03153,423
2000,Goslar,Fälle,K03153,220
2001,Goslar,Fälle,K03153,223
2002,Goslar,Fälle,K03153,237
2003,Goslar,Fälle,K03153,225
2004,Goslar,Fälle,K03153,135
2005,Goslar,Fälle,K03153,143
2006,Goslar,Fälle,K03153,94
2007,Goslar,Fälle,K03153,110
2008,Goslar,Fälle,K03153,80
2009,Goslar,Fälle,K03153,58
2010,Goslar,Fälle,K03153,53
2011,Goslar,Fälle,K03153,51
2012,Goslar,Fälle,K03153,66
2013,Goslar,Fälle,K03153,67
2014,Goslar,Fälle,K03153,72
2015,Goslar,Fälle,K03153,91
2016,Goslar,Fälle,K03153,89
2017,Goslar,Fälle,K03153,121
2018,Goslar,Fälle,K03153,94
2019,Goslar,Fälle,K03153,187
1991,Helmstedt,Fälle,K03154,231
1992,Helmstedt,Fälle,K03154,349
1993,Helmstedt,Fälle,K03154,358
1994,Helmstedt,Fälle,K03154,305
1995,Helmstedt,Fälle,K03154,201
1996,Helmstedt,Fälle,K03154,346
1997,Helmstedt,Fälle,K03154,260
1998,Helmstedt,Fälle,K03154,289
1999,Helmstedt,Fälle,K03154,384
2000,Helmstedt,Fälle,K03154,265
2001,Helmstedt,Fälle,K03154,319
2002,Helmstedt,Fälle,K03154,334
2003,Helmstedt,Fälle,K03154,301
2004,Helmstedt,Fälle,K03154,166
2005,Helmstedt,Fälle,K03154,177
2006,Helmstedt,Fälle,K03154,135
2007,Helmstedt,Fälle,K03154,83
2008,Helmstedt,Fälle,K03154,91
2009,Helmstedt,Fälle,K03154,51
2010,Helmstedt,Fälle,K03154,112
2011,Helmstedt,Fälle,K03154,105
2012,Helmstedt,Fälle,K03154,145
2013,Helmstedt,Fälle,K03154,243
2014,Helmstedt,Fälle,K03154,222
2015,Helmstedt,Fälle,K03154,354
2016,Helmstedt,Fälle,K03154,199
2017,Helmstedt,Fälle,K03154,167
2018,Helmstedt,Fälle,K03154,177
2019,Helmstedt,Fälle,K03154,283
1991,Northeim,Fälle,K03155,232
1992,Northeim,Fälle,K03155,313
1993,Northeim,Fälle,K03155,360
1994,Northeim,Fälle,K03155,468
1995,Northeim,Fälle,K03155,298
1996,Northeim,Fälle,K03155,418
1997,Northeim,Fälle,K03155,407
1998,Northeim,Fälle,K03155,436
1999,Northeim,Fälle,K03155,431
2000,Northeim,Fälle,K03155,363
2001,Northeim,Fälle,K03155,294
2002,Northeim,Fälle,K03155,295
2003,Northeim,Fälle,K03155,235
2004,Northeim,Fälle,K03155,188
2005,Northeim,Fälle,K03155,226
