Year,Gebietseinheit,Kategorien,GeoCode,Value
2012,Niedersachsen,Neubau,K030,19201
2012,Braunschweig,Neubau,K031,2139
2012,Braunschweig Stadt,Neubau,K03101,455
2012,Salzgitter.Stadt,Neubau,K03102,65
2012,Wolfsburg.Stadt,Neubau,K03103,278
2012,Gifhorn,Neubau,K03151,383
2012,Goslar,Neubau,K03153,30
2012,Helmstedt,Neubau,K03154,47
2012,Northeim,Neubau,K03155,74
2012,Peine,Neubau,K03157,254
2012,Wolfenbüttel,Neubau,K03158,172
2012,Göttingen,Neubau,K03159,381
2012,Hannover,Neubau,K032,3798
2012,Hannover Region,Neubau,K03241,2247
2012,Hannover Landeshauptstadt,Neubau,K03241001,879
2012,Diepholz,Neubau,K03251,744
2012,Hameln-Pyrmont,Neubau,K03252,88
2012,Hildesheim,Neubau,K03254,248
2012,Holzminden,Neubau,K03255,46
2012,Nienburg (Weser),Neubau,K03256,207
2012,Schaumburg,Neubau,K03257,218
2012,Lüneburg,Neubau,K033,4462
2012,Celle,Neubau,K03351,260
2012,Cuxhaven,Neubau,K03352,591
2012,Harburg,Neubau,K03353,942
2012,Lüchow-Dannenberg,Neubau,K03354,31
2012,Lüneburg,Neubau,K03355,620
2012,Osterholz,Neubau,K03356,292
2012,Rotenburg (Wümme),Neubau,K03357,396
2012,Heidekreis,Neubau,K03358,138
2012,Stade,Neubau,K03359,746
2012,Uelzen,Neubau,K03360,92
2012,Verden,Neubau,K03361,354
2012,Weser-Ems,Neubau,K034,8802
2012,Delmenhorst.Stadt,Neubau,K03401,184
2012,Emden Stadt,Neubau,K03402,91
2012,Oldenburg (Oldb) Stadt,Neubau,K03403,990
2012,Osnabrück Stadt,Neubau,K03404,298
2012,Wilhelmshaven Stadt,Neubau,K03405,51
2012,Ammerland,Neubau,K03451,666
2012,Aurich,Neubau,K03452,626
2012,Cloppenburg,Neubau,K03453,826
2012,Emsland,Neubau,K03454,1672
2012,Friesland,Neubau,K03455,254
2012,Grafschaft Bentheim,Neubau,K03456,435
2012,Leer,Neubau,K03457,545
2012,Oldenburg,Neubau,K03458,266
2012,Osnabrück,Neubau,K03459,887
2012,Vechta,Neubau,K03460,718
2012,Wesermarsch,Neubau,K03461,122
2012,Wittmund,Neubau,K03462,171
2013,Niedersachsen,Neubau,K030,20921
2013,Braunschweig,Neubau,K031,2094
2013,Braunschweig Stadt,Neubau,K03101,227
2013,Salzgitter.Stadt,Neubau,K03102,100
2013,Wolfsburg.Stadt,Neubau,K03103,172
2013,Gifhorn,Neubau,K03151,566
2013,Goslar,Neubau,K03153,57
2013,Helmstedt,Neubau,K03154,102
2013,Northeim,Neubau,K03155,57
2013,Peine,Neubau,K03157,280
2013,Wolfenbüttel,Neubau,K03158,168
2013,Göttingen,Neubau,K03159,365
2013,Hannover,Neubau,K032,3434
2013,Hannover Region,Neubau,K03241,1906
2013,Hannover Landeshauptstadt,Neubau,K03241001,636
2013,Diepholz,Neubau,K03251,598
2013,Hameln-Pyrmont,Neubau,K03252,180
2013,Hildesheim,Neubau,K03254,336
2013,Holzminden,Neubau,K03255,8
2013,Nienburg (Weser),Neubau,K03256,194
2013,Schaumburg,Neubau,K03257,212
2013,Lüneburg,Neubau,K033,4976
2013,Celle,Neubau,K03351,319
2013,Cuxhaven,Neubau,K03352,591
2013,Harburg,Neubau,K03353,1054
