Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2018,Wilhelmshaven Stadt,Niederlassungserlaubnis ,K03405,195
2018,Ammerland,Niederlassungserlaubnis ,K03451,255
2018,Aurich,Niederlassungserlaubnis ,K03452,375
2018,Cloppenburg,Niederlassungserlaubnis ,K03453,500
2018,Emsland,Niederlassungserlaubnis ,K03454,605
2018,Friesland,Niederlassungserlaubnis ,K03455,145
2018,Grafschaft Bentheim,Niederlassungserlaubnis ,K03456,115
2018,Leer,Niederlassungserlaubnis ,K03457,245
2018,Oldenburg,Niederlassungserlaubnis ,K03458,435
2018,Osnabrück,Niederlassungserlaubnis ,K03459,605
2018,Vechta,Niederlassungserlaubnis ,K03460,450
2018,Wesermarsch,Niederlassungserlaubnis ,K03461,195
2018,Wittmund,Niederlassungserlaubnis ,K03462,110
2018,Statistische Region Weser-Ems,Niederlassungserlaubnis ,K034,6445
2018,Niedersachsen,Niederlassungserlaubnis ,K030,28175
2017,Braunschweig Stadt,Niederlassungserlaubnis ,K03101,425
2017,Salzgitter Stadt,Niederlassungserlaubnis ,K03102,315
2017,Wolfsburg Stadt,Niederlassungserlaubnis ,K03103,470
2017,Gifhorn,Niederlassungserlaubnis ,K03151,215
2017,Göttingen,Niederlassungserlaubnis ,K03159,280
2017,Goslar,Niederlassungserlaubnis ,K03153,105
2017,Helmstedt,Niederlassungserlaubnis ,K03154,460
2017,Northeim,Niederlassungserlaubnis ,K03155,380
2017,Peine,Niederlassungserlaubnis ,K03157,155
2017,Wolfenbüttel,Niederlassungserlaubnis ,K03158,885
2017,Statistische Region Braunschweig,Niederlassungserlaubnis ,K031,3695
2017,Hannover Region,Niederlassungserlaubnis ,K03241,10700
2017,Hannover Landeshauptstadt,Niederlassungserlaubnis ,K03241001,6675
2017,Diepholz,Niederlassungserlaubnis ,K03251,540
2017,Hameln-Pyrmont,Niederlassungserlaubnis ,K03252,815
2017,Hildesheim,Niederlassungserlaubnis ,K03254,1045
2017,Holzminden,Niederlassungserlaubnis ,K03255,105
2017,Nienburg (Weser),Niederlassungserlaubnis ,K03256,485
2017,Schaumburg,Niederlassungserlaubnis ,K03257,425
2017,Statistische Region Hannover,Niederlassungserlaubnis ,K032,14110
2017,Celle,Niederlassungserlaubnis ,K03351,715
2017,Cuxhaven,Niederlassungserlaubnis ,K03352,315
2017,Harburg,Niederlassungserlaubnis ,K03353,535
2017,Lüchow-Dannenberg,Niederlassungserlaubnis ,K03354,60
2017,Lüneburg,Niederlassungserlaubnis ,K03355,400
2017,Osterholz,Niederlassungserlaubnis ,K03356,325
2017,Rotenburg (Wümme),Niederlassungserlaubnis ,K03357,395
2017,Heidekreis,Niederlassungserlaubnis ,K03358,480
2017,Stade,Niederlassungserlaubnis ,K03359,260
2017,Uelzen,Niederlassungserlaubnis ,K03360,155
2017,Verden,Niederlassungserlaubnis ,K03361,420
